Order,Application Address,Geocode Address,Map-Lot,Neighborhood,Year Permitted,Fiscal Year Permitted,Prior Use,Permitted Use,Housing Starts,Net Change in Units,Location
1,136 Appleton St,136 Appleton St,231-28,10,1996,,4 Units,5 Units,5,1,"(42.38119413, -71.13397295)"
2,243 Bent St,243 Bent St,27-6,1,1996,,Storage,11 Units,11,11,"(42.36752027, -71.08474277)"
3,11 Bigelow St,11 Bigelow St,118-27,6,1996,,11 Units,9 Units,9,-2,"(42.36771912, -71.10580454)"
4,11 Blackstone St,11 Blackstone St,129-9,7,1996,,Commercial,11 Units,11,11,"(42.36251394, -71.11440223)"
5,73 Bolton St,73 Bolton St,203A-15,9,1996,,1 Unit,7 Units,7,6,"(42.39037063, -71.13186123)"
6,51 Bristol St,51 Bristol St,40-40,3,1996,,9 Units,11 Units,11,2,"(42.36834376, -71.09265017)"
7,457 Cambridge St,457 Cambridge St,23-16,1,1996,,8 Units/2 Stores,10 Units,2,2,"(42.3716366, -71.08384688)"
8,1271 Cambridge St,1271 Cambridge St,83-67,3,1996,,3 Units,Restaurant,0,-3,"(42.37355764, -71.09869729)"
9,161 Cherry St,161 Cherry St,75-89,4,1996,,Vacant,3 Units,3,3,"(42.36618645, -71.09681815)"
10,274 Concord Ave,274 Concord Ave,230-5,10,1996,,2 Units,3 Units,3,1,"(42.38343776, -71.13345371)"
11,32 Cushing St,32 Cushing St,255-106,13,1996,,Vacant Lot,3 Units,3,3,"(42.37575022, -71.15178367)"
12,1 Davenport St,1 Davenport St,179-74,11,1996,,1 Unit,17 Units,17,16,"(42.38975934, -71.11965342)"
13,164 Elm St North,164 Elm St North,180-33,11,1996,,1 Unit,3 Units,2,2,"(42.39202031, -71.11978441)"
14,23 Fairmont St,23 Fairmont St,104-16,5,1996,,1 Unit,2 Units,2,1,"(42.36148726, -71.11029389)"
15,50 Garden St,50 Garden St,215-22,9,1996,,1 Unit,2 Units,2,1,"(42.38008492, -71.12523062)"
16,85 Hancock St,85 Hancock St,116-92,6,1996,,2 Units,18 Units,18,16,"(42.36885097, -71.1084192)"
17,1 Hollis St,1 Hollis St,196-120,11,1996,,Vacant Lot,4 Units,4,4,"(42.39462335, -71.12751061)"
18,84 Holworthy St,84 Holworthy St,254-30,13,1996,,1 Unit,2 Units,2,1,"(42.37685965, -71.1505653)"
19,7 Jefferson St,7 Jefferson St,36-89,3,1996,,Vacant Lot,4 Units,4,4,"(42.37306655, -71.08847259)"
20,98 Kinnaird St,98 Kinnaird St,121-66,7,1996,,3 Units,2 Units,2,-1,"(42.36746362, -71.11190016)"
21,33 Linnean St,33 Linnaean St,211-8,9,1996,,1 Unit,Single + 4 Units,5,4,"(42.38398271, -71.12305756)"
22,1715 Massachusetts Ave,1715 Mass Ave,155-39,8,1996,,Vacant,8 Units,8,8,"(42.38362148, -71.11911971)"
23,13 Msgr OBrien Hgwy,10 Museum Way,1A-109,1,1996,,Warehouse,435 Units,435,435,"(42.37022964, -71.0715089)"
24,45 Orchard St,45 Orchard St,180-44,11,1996,,1 Unit,2 Units,2,1,"(42.39165836, -71.12059964)"
25,128 Oxford St,128 Oxford St,151-13,8,1996,,7 Unit,3 Units,3,-4,"(42.38488814, -71.11594028)"
26,85 Sherman St,85 Sherman St,271-72,9,1996,,2 Units,11 Units,11,9,"(42.38822518, -71.1324812)"
